epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,3037.53,1.32146,0.65262,1.08102,0.88932,0.88986,0.94291,0.54729,1.18406,0.53418,1.0724,0.000919704,0.000919704,0.000919704
20,3197.72,1.316,0.65431,1.09094,0.96751,0.86796,0.94734,0.57435,1.13737,0.53818,1.04186,0.00089141,0.00089141,0.00089141
21,3358.02,1.29304,0.6422,1.08566,0.92158,0.932,0.96398,0.54705,1.21648,0.54323,1.05367,0.000863116,0.000863116,0.000863116
22,3519.41,1.30437,0.64226,1.06979,0.90754,0.95753,0.95748,0.55913,1.2204,0.53566,1.06613,0.000834822,0.000834822,0.000834822
23,3679.33,1.32034,0.63862,1.0661,0.89802,0.96198,0.967,0.55191,1.22415,0.51079,1.06014,0.000806528,0.000806528,0.000806528
24,3838.75,1.28847,0.62441,1.07089,0.93023,0.95193,0.96046,0.54069,1.2779,0.54313,1.06579,0.000778233,0.000778233,0.000778233
25,3998.84,1.26953,0.61726,1.0404,0.92316,0.93908,0.96268,0.554,1.14912,0.52111,1.02857,0.000749939,0.000749939,0.000749939
26,4157.86,1.27165,0.61643,1.05918,0.93456,0.90726,0.94435,0.50454,1.23764,0.51948,1.07723,0.000721645,0.000721645,0.000721645
27,4316.07,1.24163,0.59838,1.04197,0.96112,0.92454,0.96152,0.55885,1.21321,0.50015,1.03859,0.000693351,0.000693351,0.000693351
28,4474.36,1.25763,0.6028,1.05101,0.89898,0.93574,0.95824,0.56715,1.15775,0.46819,1.04179,0.000665057,0.000665057,0.000665057
29,5402.45,1.26553,0.59814,1.03864,0.92181,0.95219,0.96882,0.56254,1.1179,0.48368,1.02376,0.000636762,0.000636762,0.000636762
30,5560.15,1.23883,0.58694,1.0367,0.9198,0.92799,0.97191,0.58063,1.13912,0.4677,1.03038,0.000608468,0.000608468,0.000608468
31,6373.36,1.21307,0.57385,1.02743,0.94721,0.89062,0.96592,0.54737,1.17861,0.48174,1.04018,0.000580174,0.000580174,0.000580174
32,9007.05,1.22081,0.5822,1.04556,0.9206,0.89766,0.95405,0.55041,1.20159,0.49326,1.03922,0.00055188,0.00055188,0.00055188
33,9166.29,1.22428,0.5798,1.02796,0.8966,0.92975,0.95572,0.55807,1.17045,0.47613,1.04188,0.000523586,0.000523586,0.000523586
34,9325.42,1.19197,0.57057,1.02561,0.89702,0.95414,0.97036,0.5784,1.17137,0.47248,1.03499,0.000495291,0.000495291,0.000495291
35,9486.72,1.19871,0.56761,1.02778,0.91584,0.92198,0.95794,0.57079,1.135,0.48928,1.02511,0.000466997,0.000466997,0.000466997
36,9647.59,1.16268,0.54414,1.01405,0.91,0.9496,0.95381,0.55589,1.11302,0.46184,1.02546,0.000438703,0.000438703,0.000438703
37,9807.52,1.17294,0.55239,1.02508,0.92977,0.94065,0.96005,0.56109,1.14353,0.46158,1.03441,0.000410409,0.000410409,0.000410409
38,9967.9,1.17105,0.54867,1.02691,0.90983,0.94483,0.95477,0.57919,1.15596,0.4657,1.04002,0.000382115,0.000382115,0.000382115
39,10129,1.17404,0.54985,1.01286,0.95037,0.92736,0.95191,0.58487,1.1168,0.46327,1.02511,0.00035382,0.00035382,0.00035382
40,10289.2,1.17078,0.54706,1.01943,0.91686,0.92795,0.95565,0.58085,1.10747,0.46931,1.01706,0.000325526,0.000325526,0.000325526
41,10447.7,1.13574,0.52831,1.06304,0.90841,0.93482,0.9383,0.55386,1.16129,0.46755,1.03278,0.000297232,0.000297232,0.000297232
42,10605.2,1.10502,0.51236,1.03759,0.93197,0.91973,0.92756,0.56528,1.12307,0.46554,1.0217,0.000268938,0.000268938,0.000268938
43,10762.6,1.09255,0.49808,1.04258,0.94239,0.94367,0.9531,0.55948,1.17154,0.47563,1.03624,0.000240644,0.000240644,0.000240644
44,10920.8,1.08835,0.49944,1.03865,0.92624,0.94681,0.95496,0.54287,1.17352,0.46361,1.02836,0.000212349,0.000212349,0.000212349
45,11079.1,1.08529,0.49932,1.03949,0.94216,0.94704,0.95655,0.58005,1.16041,0.46149,1.03123,0.000184055,0.000184055,0.000184055
46,11237.5,1.05108,0.48647,1.01423,0.93195,0.94584,0.96096,0.56821,1.17311,0.44706,1.02341,0.000155761,0.000155761,0.000155761
47,11396.1,1.05279,0.4824,1.02775,0.94186,0.93879,0.96072,0.58009,1.14734,0.45095,1.02349,0.000127467,0.000127467,0.000127467
48,11554.8,1.03744,0.48266,1.01129,0.9282,0.91954,0.95806,0.57888,1.13731,0.43813,1.01793,9.91726e-05,9.91726e-05,9.91726e-05
49,11713.4,1.03057,0.47428,1.01388,0.92952,0.94611,0.95602,0.58385,1.14789,0.43698,1.0205,7.08784e-05,7.08784e-05,7.08784e-05
50,11871.9,1.01263,0.47142,0.9997,0.92997,0.94484,0.95619,0.58043,1.15636,0.44107,1.02229,4.25842e-05,4.25842e-05,4.25842e-05
