epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.725,1.79695,1.8068,1.32907,0.93946,0.31291,0.42979,0.19799,1.52426,1.81379,1.19008,0.00030009,0.00030009,0.00030009
2,321.835,1.5535,1.07859,1.19063,0.86716,0.79333,0.86763,0.45004,1.34144,0.9756,1.12733,0.000602303,0.000602303,0.000602303
3,482.842,1.56533,1.01671,1.18106,0.5627,0.73866,0.80053,0.33531,1.8233,1.32634,1.39726,0.000892068,0.000892068,0.000892068
4,641.966,1.53582,0.90205,1.18251,0.83181,0.83871,0.89792,0.41002,1.4472,0.86537,1.18583,0.00116938,0.00116938,0.00116938
5,801.96,1.54506,0.88737,1.19744,0.59084,0.84157,0.89137,0.43296,1.38482,0.73428,1.14196,0.00131582,0.00131582,0.00131582
6,960.499,1.50687,0.83857,1.17321,0.89008,0.85383,0.92655,0.49254,1.3785,0.71711,1.1231,0.00128753,0.00128753,0.00128753
7,1120.36,1.47457,0.79954,1.15755,0.82558,0.9143,0.90295,0.50494,1.27155,0.66501,1.07874,0.00125923,0.00125923,0.00125923
8,1278.8,1.49476,0.78448,1.15078,0.86514,0.84217,0.92316,0.43972,1.39438,0.84526,1.14652,0.00123094,0.00123094,0.00123094
9,1437.66,1.44381,0.79109,1.14488,0.85782,0.85832,0.88578,0.48646,1.32887,0.64325,1.13135,0.00120265,0.00120265,0.00120265
10,1597.75,1.42337,0.75187,1.13866,0.83917,0.89096,0.90721,0.51445,1.26558,0.66469,1.09137,0.00117435,0.00117435,0.00117435
11,1757.88,1.41658,0.71796,1.11756,0.8895,0.90185,0.93709,0.48872,1.33887,0.60143,1.09245,0.00114606,0.00114606,0.00114606
12,1918.01,1.41435,0.7387,1.14189,0.90176,0.88934,0.91909,0.51219,1.27477,0.61945,1.10467,0.00111776,0.00111776,0.00111776
13,2079.91,1.40559,0.7059,1.11442,0.93393,0.85168,0.92847,0.4751,1.35739,0.64905,1.11157,0.00108947,0.00108947,0.00108947
14,2240.4,1.37181,0.69912,1.11218,0.90678,0.8948,0.93235,0.50541,1.2235,0.57988,1.06903,0.00106118,0.00106118,0.00106118
15,2398.84,1.35743,0.68268,1.08761,0.90345,0.90993,0.9496,0.5266,1.21411,0.56879,1.07476,0.00103288,0.00103288,0.00103288
16,2558.71,1.35695,0.67039,1.09928,0.8939,0.9067,0.93545,0.53668,1.1907,0.52991,1.06004,0.00100459,0.00100459,0.00100459
17,2717.9,1.37208,0.67608,1.10482,0.9115,0.95116,0.97013,0.54381,1.17982,0.54593,1.04375,0.000976293,0.000976293,0.000976293
18,2877.97,1.32998,0.66607,1.09206,0.96204,0.93006,0.96447,0.54827,1.24738,0.53058,1.08066,0.000947999,0.000947999,0.000947999
